points,superior_rating,price,Rich,Soft,age,rich,year,soft,light,fruity,attractive,great,richness,dense,intense,powerful,long,variety
93,1,2.069213780262315,0,1,0.0,0.0,0.0,0.2813589540965937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.731849630033596,0,0,0.0,0.0,0.0,0.0,0.0,0.3205044925442091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
92,1,1.922251000955881,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
95,1,2.1112005029309824,0,0,0.17471090311839843,0.0,0.20069779989294637,0.0,0.0,0.0,0.0,0.24818047772741825,0.0,0.0,0.27089457581930293,0.27953088894717604,0.0,Chardonnay
92,1,1.7886649117766558,1,0,0.34945242728583914,0.0,0.0,0.0,0.0,0.44086399383883074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
90,1,1.731849630033596,1,0,0.0,0.31032431017706635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4334647694037981,0.0,0.0,0.0,Rhône-style Red Blend
92,1,2.0394124122272914,0,0,0.19858097992329485,0.0,0.22811836616849138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
85,0,1.7763500750549992,0,1,0.0,0.0,0.0,0.5311652634566495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
90,1,1.657450685768658,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30576524674556677,0.0,0.33150010866274043,0.0,Bordeaux-style Red Blend
88,0,1.576205308822663,1,0,0.0,0.23968553875436022,0.0,0.0,0.0,0.0,0.3161645388213325,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
84,0,1.505645500223933,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Merlot
84,0,1.576205308822663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauvignon Blanc
85,0,1.576205308822663,0,1,0.0,0.0,0.0,0.269457331135028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
90,1,1.657450685768658,1,0,0.0,0.3074083141420877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
89,0,1.8154477680247336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
91,1,1.8701536379127834,0,0,0.20348606333409763,0.0,0.23375304283301737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
87,0,1.6128303280571636,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
89,0,1.856811092535303,1,0,0.21488313842545387,0.22702755692213583,0.0,0.0,0.0,0.0,0.0,0.0,0.30828563795853037,0.31711485172853804,0.0,0.0,0.0,Chardonnay
88,0,1.7230287407457363,1,0,0.0,0.2482731108988905,0.0,0.0,0.0,0.29646267160309125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
85,0,1.505645500223933,0,1,0.0,0.0,0.0,0.21474092579342427,0.0,0.0,0.0,0.0,0.0,0.0,0.2797032227313122,0.0,0.0,Viognier
90,1,1.6437137027175575,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
90,1,1.845748636271712,0,0,0.2161988855918568,0.0,0.24835679916431677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335222956092913,0.0,0.0,Pinot Noir
84,0,1.505645500223933,0,0,0.0,0.0,0.0,0.0,0.0,0.3000031787456899,0.331403316364168,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
95,1,1.9097376172084048,1,0,0.0,0.22947413404004535,0.0,0.0,0.0,0.0,0.0,0.30853547785825225,0.31160789803054517,0.0,0.0,0.0,0.0,Chardonnay
88,0,1.900486575142383,1,0,0.0,0.2078570999170321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
85,0,1.6288914380896082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
90,1,1.856811092535303,1,0,0.21243126640548887,0.2244371139555207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
85,0,1.5317625635685963,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4399599962111262,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
87,0,1.6128303280571636,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
95,1,2.0461983358431493,1,0,0.2088962127995565,0.0,0.23996791022497269,0.0,0.0,0.0,0.0,0.0,0.29969639638511425,0.0,0.3238999395375196,0.0,0.0,Chardonnay
89,0,1.70382474956942,1,0,0.22945161627613608,0.24241939249727582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33861435479509566,0.0,0.0,0.0,Bordeaux-style Red Blend
94,1,1.8495468204444896,1,0,0.31252285096564764,0.330185513190863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Gris
95,1,1.7886649117766558,1,0,0.2131649451048448,0.2252122575237927,0.0,0.0,0.0,0.0,0.2970731146608476,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
89,0,1.731849630033596,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
90,1,2.05611134233293,1,0,0.0,0.0,0.23358737553593242,0.0,0.0,0.0,0.0,0.0,0.29172773402720625,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.6288914380896082,0,1,0.0,0.0,0.31434294036702043,0.3257457510041733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
90,1,1.7557076861710752,0,0,0.22008208674099378,0.0,0.25281759647726637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
84,0,1.6933326949318146,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3156809779724134,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Gris
86,0,1.4037376194831213,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
90,1,1.70382474956942,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red Blend
87,0,1.576205308822663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syrah
88,0,1.9932603116906318,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
90,1,1.713704021675243,1,0,0.0,0.47810017226249735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
84,0,1.5551302597192842,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cabernet Franc
89,0,1.845748636271712,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40513369789380205,0.0,0.0,0.0,0.0,Chardonnay
82,0,1.4425776540291462,0,0,0.0,0.0,0.0,0.0,0.24687477398140042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
86,0,1.657450685768658,0,1,0.0,0.0,0.0,0.32581972180503604,0.34715098912886766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
90,1,1.9351393657479055,0,0,0.21931923347216498,0.0,0.251941274679586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
83,0,1.576205308822663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
91,1,1.6128303280571636,1,0,0.16285300329194025,0.0,0.18707612909826035,0.0,0.0,0.0,0.0,0.0,0.23363974661388048,0.24033112309734112,0.0,0.0,0.0,Tannat
86,0,1.657450685768658,1,0,0.0,0.264358632064368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40033822157338134,0.0,Merlot
86,0,1.6437137027175575,0,0,0.0,0.0,0.0,0.0,0.36620699778153015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
91,1,1.8876965711860154,0,0,0.269765368276928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
92,1,1.9480523628041537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
98,1,2.000955454755477,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
90,1,1.8732680991352706,1,0,0.0,0.0,0.0,0.0,0.0,0.24704610521826692,0.0,0.0,0.2809392357508499,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
95,1,2.0817623584419804,1,0,0.19664217012835578,0.0,0.2258911733985503,0.0,0.0,0.0,0.0,0.0,0.2821159319980831,0.0,0.0,0.0,0.0,Chardonnay
88,0,1.5317625635685963,1,0,0.0,0.2885150276887347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
87,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.28709783792249405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malbec
89,0,1.5551302597192842,0,1,0.0,0.0,0.0,0.2683820290581295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
94,1,2.0440142918148667,1,0,0.0,0.3478589748160965,0.37822443114579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
89,0,1.8636675993480407,1,0,0.0,0.2530563152055144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
94,1,2.0422122758113903,0,0,0.24260302776696546,0.0,0.27868835345210874,0.0,0.0,0.0,0.0,0.0,0.0,0.358022615189534,0.0,0.0,0.0,Pinot Noir
86,0,1.5317625635685963,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
91,1,1.8929910176442415,0,0,0.0,0.0,0.28685689602086073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
84,0,1.4425776540291462,1,0,0.0,0.2977570385775211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Blend
